x,y,z
0,0,-2
0.002,0.002,-1.996
0.004,0.004,-1.992
0.006,0.006,-1.988
0.008,0.008,-1.984
0.01,0.01,-1.98
0.012,0.012,-1.976
0.014,0.014,-1.972
0.016,0.016,-1.968
0.018,0.018,-1.964
0.02,0.02,-1.96
0.022,0.022,-1.956
0.024,0.024,-1.952
0.026,0.026,-1.948
0.028,0.028,-1.944
0.03,0.03,-1.94
0.032,0.032,-1.936
0.034,0.034,-1.932
0.036,0.036,-1.928
0.038,0.038,-1.924
0.04,0.04,-1.92
0.042,0.042,-1.916
0.044,0.044,-1.912
0.046,0.046,-1.908
0.048,0.048,-1.904
0.05,0.05,-1.9
0.052,0.052,-1.896
0.054,0.054,-1.892
0.056,0.056,-1.888
0.058,0.058,-1.884
0.06,0.06,-1.88
0.062,0.062,-1.876
0.064,0.064,-1.872
0.066,0.066,-1.868
0.068,0.068,-1.864
0.07,0.07,-1.86
0.072,0.072,-1.856
0.074,0.074,-1.852
0.076,0.076,-1.848
0.078,0.078,-1.844
0.08,0.08,-1.84
0.082,0.082,-1.836
0.084,0.084,-1.832
0.086,0.086,-1.828
0.088,0.088,-1.824
0.09,0.09,-1.82
0.092,0.092,-1.816
0.094,0.094,-1.812
0.096,0.096,-1.808
0.098,0.098,-1.804
0.1,0.1,-1.8
0.102,0.102,-1.796
0.104,0.104,-1.792
0.106,0.106,-1.788
0.108,0.108,-1.784
0.11,0.11,-1.78
0.112,0.112,-1.776
0.114,0.114,-1.772
0.116,0.116,-1.768
0.118,0.118,-1.764
0.12,0.12,-1.76
0.122,0.122,-1.756
0.124,0.124,-1.752
0.126,0.126,-1.748
0.128,0.128,-1.744
0.13,0.13,-1.74
0.132,0.132,-1.736
0.134,0.134,-1.732
0.136,0.136,-1.728
0.138,0.138,-1.724
0.14,0.14,-1.72
0.142,0.142,-1.716
0.144,0.144,-1.712
0.146,0.146,-1.708
0.148,0.148,-1.704
0.15,0.15,-1.7
0.152,0.152,-1.696
0.154,0.154,-1.692
0.156,0.156,-1.688
0.158,0.158,-1.684
0.16,0.16,-1.68
0.162,0.162,-1.676
0.164,0.164,-1.672
0.166,0.166,-1.668
0.168,0.168,-1.664
0.17,0.17,-1.66
0.172,0.172,-1.656
0.174,0.174,-1.652
0.176,0.176,-1.648
0.178,0.178,-1.644
0.18,0.18,-1.64
0.182,0.182,-1.636
0.184,0.184,-1.632
0.186,0.186,-1.628
0.188,0.188,-1.624
0.19,0.19,-1.62
0.192,0.192,-1.616
0.194,0.194,-1.612
0.196,0.196,-1.608
0.198,0.198,-1.604
0.2,0.2,-1.6
0.202,0.202,-1.596
0.204,0.204,-1.592
0.206,0.206,-1.588
0.208,0.208,-1.584
0.21,0.21,-1.58
0.212,0.212,-1.576
0.214,0.214,-1.572
0.216,0.216,-1.568
0.218,0.218,-1.564
0.22,0.22,-1.56
0.222,0.222,-1.556
0.224,0.224,-1.552
0.226,0.226,-1.548
0.228,0.228,-1.544
0.23,0.23,-1.54
0.232,0.232,-1.536
0.234,0.234,-1.532
0.236,0.236,-1.528
0.238,0.238,-1.524
0.24,0.24,-1.52
0.242,0.242,-1.516
0.244,0.244,-1.512
0.246,0.246,-1.508
0.248,0.248,-1.504
0.25,0.25,-1.5
0.252,0.252,-1.496
0.254,0.254,-1.492
0.256,0.256,-1.488
0.258,0.258,-1.484
0.26,0.26,-1.48
0.262,0.262,-1.476
0.264,0.264,-1.472
0.266,0.266,-1.468
0.268,0.268,-1.464
0.27,0.27,-1.46
0.272,0.272,-1.456
0.274,0.274,-1.452
0.276,0.276,-1.448
0.278,0.278,-1.444
0.28,0.28,-1.44
0.282,0.282,-1.436
0.284,0.284,-1.432
0.286,0.286,-1.428
0.288,0.288,-1.424
0.29,0.29,-1.42
0.292,0.292,-1.416
0.294,0.294,-1.412
0.296,0.296,-1.408
0.298,0.298,-1.404
0.3,0.3,-1.4
0.302,0.302,-1.396
0.304,0.304,-1.392
0.306,0.306,-1.388
0.308,0.308,-1.384
0.31,0.31,-1.38
0.312,0.312,-1.376
0.314,0.314,-1.372
0.316,0.316,-1.368
0.318,0.318,-1.364
0.32,0.32,-1.36
0.322,0.322,-1.356
0.324,0.324,-1.352
0.326,0.326,-1.348
0.328,0.328,-1.344
0.33,0.33,-1.34
0.332,0.332,-1.336
0.334,0.334,-1.332
0.336,0.336,-1.328
0.338,0.338,-1.324
0.34,0.34,-1.32
0.342,0.342,-1.316
0.344,0.344,-1.312
0.346,0.346,-1.308
0.348,0.348,-1.304
0.35,0.35,-1.3
0.352,0.352,-1.296
0.354,0.354,-1.292
0.356,0.356,-1.288
0.358,0.358,-1.284
0.36,0.36,-1.28
0.362,0.362,-1.276
0.364,0.364,-1.272
0.366,0.366,-1.268
0.368,0.368,-1.264
0.37,0.37,-1.26
0.372,0.372,-1.256
0.374,0.374,-1.252
0.376,0.376,-1.248
0.378,0.378,-1.244
0.38,0.38,-1.24
0.382,0.382,-1.236
0.384,0.384,-1.232
0.386,0.386,-1.228
0.388,0.388,-1.224
0.39,0.39,-1.22
0.392,0.392,-1.216
0.394,0.394,-1.212
0.396,0.396,-1.208
0.398,0.398,-1.204
0.4,0.4,-1.2
0.402,0.402,-1.196
0.404,0.404,-1.192
0.406,0.406,-1.188
0.408,0.408,-1.184
0.41,0.41,-1.18
0.412,0.412,-1.176
0.414,0.414,-1.172
0.416,0.416,-1.168
0.418,0.418,-1.164
0.42,0.42,-1.16
0.422,0.422,-1.156
0.424,0.424,-1.152
0.426,0.426,-1.148
0.428,0.428,-1.144
0.43,0.43,-1.14
0.432,0.432,-1.136
0.434,0.434,-1.132
0.436,0.436,-1.128
0.438,0.438,-1.124
0.44,0.44,-1.12
0.442,0.442,-1.116
0.444,0.444,-1.112
0.446,0.446,-1.108
0.448,0.448,-1.104
0.45,0.45,-1.1
0.452,0.452,-1.096
0.454,0.454,-1.092
0.456,0.456,-1.088
0.458,0.458,-1.084
0.46,0.46,-1.08
0.462,0.462,-1.076
0.464,0.464,-1.072
0.466,0.466,-1.068
0.468,0.468,-1.064
0.47,0.47,-1.06
0.472,0.472,-1.056
0.474,0.474,-1.052
0.476,0.476,-1.048
0.478,0.478,-1.044
0.48,0.48,-1.04
0.482,0.482,-1.036
0.484,0.484,-1.032
0.486,0.486,-1.028
0.488,0.488,-1.024
0.49,0.49,-1.02
0.492,0.492,-1.016
0.494,0.494,-1.012
0.496,0.496,-1.008
0.498,0.498,-1.004
0.5,0.5,-1
0.502,0.502,-0.996
0.504,0.504,-0.992
0.506,0.506,-0.988
0.508,0.508,-0.984
0.51,0.51,-0.98
0.512,0.512,-0.976
0.514,0.514,-0.972
0.516,0.516,-0.968
0.518,0.518,-0.964
0.52,0.52,-0.96
0.522,0.522,-0.956
0.524,0.524,-0.952
0.526,0.526,-0.948
0.528,0.528,-0.944
0.53,0.53,-0.94
0.532,0.532,-0.936
0.534,0.534,-0.932
0.536,0.536,-0.928
0.538,0.538,-0.924
0.54,0.54,-0.92
0.542,0.542,-0.916
0.544,0.544,-0.912
0.546,0.546,-0.908
0.548,0.548,-0.904
0.55,0.55,-0.9
0.552,0.552,-0.896
0.554,0.554,-0.892
0.556,0.556,-0.888
0.558,0.558,-0.884
0.56,0.56,-0.88
0.562,0.562,-0.876
0.564,0.564,-0.872
0.566,0.566,-0.868
0.568,0.568,-0.864
0.57,0.57,-0.86
0.572,0.572,-0.856
0.574,0.574,-0.852
0.576,0.576,-0.848
0.578,0.578,-0.844
0.58,0.58,-0.84
0.582,0.582,-0.836
0.584,0.584,-0.832
0.586,0.586,-0.828
0.588,0.588,-0.824
0.59,0.59,-0.82
0.592,0.592,-0.816
0.594,0.594,-0.812
0.596,0.596,-0.808
0.576,0.598,-0.804
0.556,0.6,-0.8
0.536,0.602,-0.796
0.516,0.604,-0.792
0.496,0.606,-0.788
0.476,0.608,-0.784
0.456,0.61,-0.78
0.436,0.612,-0.776
0.416,0.614,-0.772
0.396,0.616,-0.768
0.376,0.618,-0.764
0.356,0.62,-0.76
0.336,0.622,-0.756
0.316,0.624,-0.752
0.296,0.626,-0.748
0.276,0.628,-0.744
0.256,0.63,-0.74
0.236,0.632,-0.736
0.216,0.634,-0.732
0.196,0.636,-0.728
0.176,0.638,-0.724
0.156,0.64,-0.72
0.136,0.642,-0.716
0.116,0.644,-0.712
0.096,0.646,-0.708
0.076,0.648,-0.704
0.056,0.65,-0.7
0.036,0.652,-0.696
0.016,0.654,-0.692
-0.004,0.656,-0.688
-0.024,0.658,-0.684
